KESİNTİ_NO,cagri_count
2342571,4.0
2361468,8.0
2361553,8.0
2334266,9.0
2366079,3.0
2343623,6.0
2364487,5.0
2354509,17.0
2362482,67.0
2362199,3.0
2349617,8.0
2340381,11.0
2343075,5.0
2361526,4.0
2353593,7.0
2349840,33.0
2338935,15.0
2353597,28.0
2353987,11.0
2354045,27.0
2358651,5.0
2336025,3.0
2356584,5.0
2361761,5.0
2337500,4.0
2343426,14.0
2338555,49.0
2332520,6.0
2359966,8.0
2356604,77.0
2336038,14.0
2337087,27.0
2316667,10.0
2344212,5.0
2342213,4.0
2337169,37.0
2316749,2.0
2322076,6.0
2360233,1.0
2347538,7.0
2359651,1.0
2343781,6.0
2343955,4.0
2344406,1.0
2342458,2.0
2361831,0.0
2343439,0.0
2342613,3.0
2337121,5.0
2321955,2.0
2322453,4.0
2343251,6.0
2339290,6.0
2333014,3.0
2334256,4.0
2342042,4.0
2341752,3.0
2342554,6.0
2358716,5.0
2344145,7.0
2341249,3.0
2361088,109.0
2347324,3.0
2339156,4.0
2352180,5.0
2315993,14.0
2334342,13.0
2348618,16.0
2336622,3.0
2347995,13.0
2355893,5.0
2334471,3.0
2357351,9.0
2353267,4.0
2320009,4.0
2318462,4.0
2355214,5.0
2346715,50.0
2364018,13.0
2351793,17.0
2355679,4.0
2342325,35.0
2355803,18.0
2353909,22.0
2361355,20.0
2342167,28.0
2353552,16.0
2338946,9.0
2361496,8.0
2345729,9.0
2341648,5.0
2348984,9.0
2361884,8.0
2361934,8.0
2342729,7.0
2317614,7.0
2345161,4.0
2344124,6.0
2355655,10.0
2344714,7.0
2357847,4.0
2348091,20.0
2321522,2.0
2354156,9.0
2359767,2.0
2354910,4.0
2322364,3.0
2344909,9.0
2335942,4.0
2363532,8.0
2350102,7.0
2343723,10.0
2358328,7.0
2337033,13.0
2347008,5.0
2336440,5.0
2332750,9.0
2340401,8.0
2339559,5.0
2346866,3.0
2353005,38.0
2357536,5.0
2357613,5.0
2354919,5.0
2320464,3.0
2345997,9.0
2344619,14.0
2320562,7.0
2340897,4.0
2362051,4.0
2360050,61.0
2348009,45.0
2359570,4.0
2356060,13.0
2338107,4.0
2342644,7.0
2342737,4.0
2341845,2.0
2343872,7.0
2341813,7.0
2361227,5.0
2342329,3.0
2316639,95.0
2342229,3.0
2359588,4.0
2358070,5.0
2338142,4.0
2339347,4.0
2364765,4.0
2345955,6.0
2317478,2.0
2339124,5.0
2355837,4.0
2361604,6.0
2361571,5.0
2337112,6.0
2358406,18.0
2337088,4.0
2350266,5.0
2355885,4.0
2320430,3.0
2346005,9.0
2349777,5.0
2321126,7.0
2360814,5.0
2338809,4.0
2340842,4.0
2364565,6.0
2333015,8.0
2336126,43.0
2317362,13.0
2345541,10.0
2346001,9.0
2348682,11.0
2365456,4.0
2337990,71.0
2355307,8.0
2358702,6.0
2358629,4.0
2317635,2.0
2344796,3.0
2345055,3.0
2322189,3.0
2350405,6.0
2339875,10.0
2359617,4.0
2350064,0.0
2351789,3.0
2341790,2.0
2353856,36.0
2364191,8.0
2321736,7.0
2334259,11.0
2354077,9.0
2345097,52.0
2356932,3.0
2321806,3.0
2349109,4.0
2344155,44.0
2344127,35.0
2332678,3.0
2319176,6.0
2317927,5.0
2347581,7.0
2345757,14.0
2354144,4.0
2336673,3.0
2358742,5.0
2363166,6.0
2353560,5.0
2351552,5.0
2343766,4.0
2362253,15.0
2365096,3.0
2341354,147.0
2357607,5.0
2352780,4.0
2345567,5.0
2346336,4.0
2349247,6.0
2332845,9.0
2360720,7.0
2353222,5.0
2341208,0.0
2343853,14.0
2360639,5.0
2362299,4.0
2364448,4.0
2320905,23.0
2340003,5.0
2346754,11.0
2340515,6.0
2358167,4.0
2320700,312.0
2344284,4.0
2333361,4.0
2318441,43.0
2332948,4.0
2321436,6.0
2349876,7.0
2349596,4.0
2345559,1.0
2345895,6.0
2357817,4.0
2355939,0.0
2356685,2.0
2344409,0.0
2340700,0.0
2358729,0.0
2364611,9.0
2358754,84.0
2358877,0.0
2321419,1.0
2358832,1.0
2358845,0.0
2358734,0.0
2350126,0.0
2351279,0.0
2317169,115.0
2365286,5.0
2356681,0.0
2365644,0.0
2359762,0.0
2354434,0.0
2354465,1.0
2334351,0.0
2317238,1.0
2339287,0.0
2341747,0.0
2319340,0.0
2318508,0.0
2318502,0.0
2317167,1.0
2337939,0.0
2354401,0.0
2339335,0.0
2354549,0.0
2356730,2.0
2366073,5.0
2338786,3.0
2340466,5.0
2361757,19.0
2334450,2.0
2361359,2.0
2357203,5.0
2344068,25.0
2347999,10.0
2346959,22.0
2343971,41.0
2333513,5.0
2352416,0.0
2318525,4.0
2354598,0.0
2360155,0.0
2347012,0.0
2335679,0.0
2352411,0.0
2354539,2.0
2346364,0.0
2317159,6.0
2350435,16.0
2353072,0.0
2352023,9.0
2356851,20.0
2334454,6.0
2317140,185.0
2343713,6.0
2344039,5.0
2350725,4.0
2337048,3.0
2341122,5.0
2333038,6.0
2359231,15.0
2361686,16.0
2358910,4.0
2356725,7.0
2356678,4.0
2336627,7.0
2336685,17.0
2338505,6.0
2362418,1.0
2346100,8.0
2344592,6.0
2317465,3.0
2318782,3.0
2319886,4.0
2336456,3.0
2364607,47.0
2342332,10.0
2358095,3.0
2360583,3.0
2340421,5.0
2339595,3.0
2345404,9.0
2320549,6.0
2340927,3.0
2365360,4.0
2348800,3.0
2319016,1.0
2332707,10.0
2359188,3.0
2319895,5.0
2348909,4.0
2357486,4.0
2339758,13.0
2365667,609.0
2362615,10.0
2338203,9.0
2337285,0.0
2343259,2.0
2360304,3.0
2359871,0.0
2357874,2.0
2351895,41.0
2353051,26.0
2351235,9.0
2333052,8.0
2345612,2.0
2318397,22.0
2322459,5.0
2353841,3.0
2346891,7.0
2361718,218.0
2343318,96.0
2343322,155.0
2343338,174.0
2362993,0.0
2332930,14.0
2320491,26.0
2362497,9.0
2353925,3.0
2321525,0.0
2338090,4.0
2361868,7.0
2350842,6.0
2335480,8.0
2356304,65.0
2354157,20.0
